// concreteMediator mediator concreteColleague 
DP jdomain.jdraw.gui.AboutDialog jdomain.util.gui.StandardDialog jdomain.jdraw.gui.DrawDialog
DP jdomain.jdraw.gui.RotateDialog jdomain.util.gui.StandardDialog jdomain.jdraw.gui.DrawDialog
DP jdomain.jdraw.gui.SizeDialog jdomain.util.gui.StandardDialog jdomain.jdraw.gui.DrawDialog
DP jdomain.jdraw.gui.ColourEditor jdomain.util.gui.StandardDialog jdomain.jdraw.gui.DrawDialog
DP jdomain.jdraw.gui.GrayScaleDialog jdomain.util.gui.StandardDialog jdomain.jdraw.gui.DrawDialog
DP jdomain.jdraw.gui.QuestionDialog jdomain.util.gui.StandardDialog jdomain.jdraw.gui.DrawDialog
DP jdomain.jdraw.gui.SettingsDialog jdomain.util.gui.StandardDialog jdomain.jdraw.gui.DrawDialog
DP jdomain.jdraw.data.ColourEntry jdomain.jdraw.data.DataObject jdomain.util.Log
DP jdomain.jdraw.data.ColourEntry jdomain.jdraw.data.DataObject jdomain.jdraw.data.event.ChangeEvent
DP jdomain.jdraw.data.Palette jdomain.jdraw.data.DataChangeListener jdomain.jdraw.data.DataObject
DP jdomain.jdraw.data.Palette jdomain.jdraw.data.DataObject jdomain.util.Log
DP jdomain.jdraw.data.Palette jdomain.jdraw.data.DataObject jdomain.jdraw.data.event.ChangeEvent
DP jdomain.jdraw.data.Palette jdomain.jdraw.data.DataObject jdomain.jdraw.data.ColourEntry
DP jdomain.jdraw.data.Palette jdomain.jdraw.data.DataObject jdomain.jdraw.data.Picture
DP jdomain.jdraw.data.Picture jdomain.jdraw.data.DataObject jdomain.util.Log
DP jdomain.jdraw.data.Picture jdomain.jdraw.data.DataObject jdomain.jdraw.data.event.ChangeEvent
DP jdomain.jdraw.data.Picture jdomain.jdraw.data.DataObject jdomain.jdraw.data.Palette
DP jdomain.jdraw.gui.DrawLayers jdomain.jdraw.gui.GridListener jdomain.jdraw.gui.FolderPanel
DP jdomain.jdraw.gui.PixelTool jdomain.jdraw.gui.Tool jdomain.jdraw.action.CompressAction
DP jdomain.jdraw.gui.PixelTool jdomain.jdraw.gui.Tool jdomain.jdraw.action.ReducePaletteColoursAction
DP jdomain.jdraw.gui.PixelTool jdomain.jdraw.gui.Tool jdomain.jdraw.action.RemoveColourAction
DP jdomain.jdraw.gui.PixelTool jdomain.jdraw.gui.Tool jdomain.jdraw.action.ReduceColoursAction
DP jdomain.jdraw.gui.PixelTool jdomain.jdraw.gui.Tool jdomain.jdraw.action.CompressPaletteAction
DP jdomain.jdraw.gui.PixelTool jdomain.jdraw.gui.Tool jdomain.jdraw.gui.ToolPanel
DP jdomain.jdraw.gui.PixelTool jdomain.jdraw.gui.Tool jdomain.jdraw.action.CropAction
DP jdomain.jdraw.gui.FillTool jdomain.jdraw.gui.Tool jdomain.jdraw.gui.undo.DrawFill
DP jdomain.jdraw.gui.RectangularSelectionTool jdomain.jdraw.gui.Tool jdomain.jdraw.gui.DrawPanel
DP jdomain.jdraw.gui.InfoClip jdomain.jdraw.gui.FloatingClip jdomain.jdraw.gui.MouseHandler
DP jdomain.jdraw.gui.OvalTool jdomain.jdraw.gui.Tool jdomain.jdraw.gui.undo.DrawOval
DP jdomain.jdraw.gui.OvalTool jdomain.jdraw.gui.Tool jdomain.jdraw.gui.RectangularSelectionTool
DP jdomain.jdraw.gui.LineTool jdomain.jdraw.gui.Tool jdomain.jdraw.gui.DrawPanel
DP jdomain.jdraw.gui.LineTool jdomain.jdraw.gui.Tool jdomain.jdraw.gui.undo.DrawLine
DP jdomain.jdraw.gui.LineTool jdomain.jdraw.gui.Tool jdomain.jdraw.gui.RectangularSelectionTool
DP jdomain.jdraw.gui.ClipTool jdomain.jdraw.gui.RectangularSelectionTool jdomain.jdraw.gui.ClipPanel
DP jdomain.jdraw.gui.TextTool jdomain.jdraw.gui.Tool jdomain.jdraw.gui.DrawPanel
DP jdomain.jdraw.gui.TextTool jdomain.jdraw.gui.Tool jdomain.jdraw.action.SetTextToolAction
DP jdomain.jdraw.gui.TextTool jdomain.jdraw.gui.Tool jdomain.jdraw.gui.undo.Undoable
DP jdomain.jdraw.gui.TextTool jdomain.jdraw.gui.Tool jdomain.jdraw.gui.MouseHandler
DP jdomain.jdraw.gui.TextTool jdomain.jdraw.gui.Tool jdomain.jdraw.gui.MainFrame
DP jdomain.jdraw.gui.TextTool jdomain.jdraw.gui.Tool jdomain.jdraw.gui.FolderPanel
DP jdomain.jdraw.gui.TextTool jdomain.jdraw.gui.Tool jdomain.jdraw.gui.RectangularSelectionTool
DP jdomain.jdraw.gui.TextTool jdomain.jdraw.gui.Tool jdomain.jdraw.gui.ClipPanel
DP jdomain.jdraw.gui.TextTool jdomain.jdraw.gui.RectangularSelectionTool jdomain.jdraw.gui.ClipPanel
DP jdomain.jdraw.gui.RectangleTool jdomain.jdraw.gui.Tool jdomain.jdraw.gui.undo.DrawRectangle
DP jdomain.jdraw.gui.RectangleTool jdomain.jdraw.gui.Tool jdomain.jdraw.gui.RectangularSelectionTool
